N,L1_error,L1_order,L2_error,L2_order,Linf_error,Linf_order
20,6.07011e-08,0,1.075633e-07,0,2.423604e-07,0
40,7.587637e-09,3,1.344791e-08,2.999733,3.0315e-08,2.99905
80,9.484547e-10,3,1.681066e-09,2.999933,3.789999e-09,2.999762
160,1.18557e-10,2.999998,2.10136e-10,2.999981,4.73771e-10,2.999936
320,1.482118e-11,2.999849,2.626985e-11,2.999844,5.922827e-11,2.999832
