N,L1_error,L1_order,L2_error,L2_order,Linf_error,Linf_order
20,8.03218e-06,0,1.423342e-05,0,4.812689e-05,0
40,2.007993e-06,2.000037,3.558872e-06,1.99979,1.204006e-05,1.999001
80,5.019951e-07,2.000009,8.897505e-07,1.999947,3.010536e-06,1.99975
160,1.254986e-07,2.000002,2.224396e-07,1.999987,7.526666e-07,1.999938
320,3.137464e-08,2,5.561005e-08,1.999996,1.881687e-07,1.999984
